LVL_3_CD,LVL_1_KR,LVL_1_EN,LVL_2_KR,LVL_2_EN,LVL_3_KR
11110101,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110102,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110103,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110104,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110105,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110108,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110109,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110110,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110111,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110119,서울특별시,Seoul,종로구,Jongno District,청운효자동
11110106,서울특별시,Seoul,종로구,Jongno District,사직동
11110107,서울특별시,Seoul,종로구,Jongno District,사직동
11110112,서울특별시,Seoul,종로구,Jongno District,사직동
11110113,서울특별시,Seoul,종로구,Jongno District,사직동
11110114,서울특별시,Seoul,종로구,Jongno District,사직동
11110115,서울특별시,Seoul,종로구,Jongno District,사직동
11110116,서울특별시,Seoul,종로구,Jongno District,사직동
11110117,서울특별시,Seoul,종로구,Jongno District,사직동
11110118,서울특별시,Seoul,종로구,Jongno District,사직동
11110120,서울특별시,Seoul,종로구,Jongno District,사직동
11110121,서울특별시,Seoul,종로구,Jongno District,사직동
11110139,서울특별시,Seoul,종로구,Jongno District,삼청동
11110140,서울특별시,Seoul,종로구,Jongno District,삼청동
11110141,서울특별시,Seoul,종로구,Jongno District,삼청동
11110142,서울특별시,Seoul,종로구,Jongno District,삼청동
11110143,서울특별시,Seoul,종로구,Jongno District,삼청동
11110144,서울특별시,Seoul,종로구,Jongno District,삼청동
11110145,서울특별시,Seoul,종로구,Jongno District,삼청동
11110184,서울특별시,Seoul,종로구,Jongno District,부암동
11110185,서울특별시,Seoul,종로구,Jongno District,부암동
11110186,서울특별시,Seoul,종로구,Jongno District,부암동
11110182,서울특별시,Seoul,종로구,Jongno District,평창동
11110183,서울특별시,Seoul,종로구,Jongno District,평창동
11110187,서울특별시,Seoul,종로구,Jongno District,무악동
11110176,서울특별시,Seoul,종로구,Jongno District,교남동
11110177,서울특별시,Seoul,종로구,Jongno District,교남동
11110178,서울특별시,Seoul,종로구,Jongno District,교남동
11110179,서울특별시,Seoul,종로구,Jongno District,교남동
11110180,서울특별시,Seoul,종로구,Jongno District,교남동
11110181,서울특별시,Seoul,종로구,Jongno District,교남동
11110146,서울특별시,Seoul,종로구,Jongno District,가회동
11110147,서울특별시,Seoul,종로구,Jongno District,가회동
11110148,서울특별시,Seoul,종로구,Jongno District,가회동
11110149,서울특별시,Seoul,종로구,Jongno District,가회동
11110122,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110123,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110124,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110125,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110126,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110127,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110128,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110129,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110130,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110131,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110132,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110133,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110134,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110135,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110136,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110137,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110138,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110150,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110151,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110152,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110153,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110154,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110155,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110156,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110157,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110158,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110159,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110161,서울특별시,Seoul,종로구,Jongno District,종로1.2.3.4가동
11110160,서울특별시,Seoul,종로구,Jongno District,종로5.6가동
11110162,서울특별시,Seoul,종로구,Jongno District,종로5.6가동
11110163,서울특별시,Seoul,종로구,Jongno District,종로5.6가동
11110164,서울특별시,Seoul,종로구,Jongno District,종로5.6가동
11110167,서울특별시,Seoul,종로구,Jongno District,종로5.6가동
11110165,서울특별시,Seoul,종로구,Jongno District,이화동
11110166,서울특별시,Seoul,종로구,Jongno District,이화동
11110168,서울특별시,Seoul,종로구,Jongno District,이화동
11110169,서울특별시,Seoul,종로구,Jongno District,혜화동
11110170,서울특별시,Seoul,종로구,Jongno District,혜화동
11110171,서울특별시,Seoul,종로구,Jongno District,혜화동
11110172,서울특별시,Seoul,종로구,Jongno District,혜화동
11110173,서울특별시,Seoul,종로구,Jongno District,혜화동
11110174,서울특별시,Seoul,종로구,Jongno District,창신제1동
11110175,서울특별시,Seoul,종로구,Jongno District,숭인제1동
11140111,서울특별시,Seoul,중구,Jung District,소공동
11140113,서울특별시,Seoul,중구,Jung District,소공동
11140114,서울특별시,Seoul,중구,Jung District,소공동
11140115,서울특별시,Seoul,중구,Jung District,소공동
11140116,서울특별시,Seoul,중구,Jung District,소공동
11140117,서울특별시,Seoul,중구,Jung District,소공동
11140119,서울특별시,Seoul,중구,Jung District,소공동
11140166,서울특별시,Seoul,중구,Jung District,소공동
11140167,서울특별시,Seoul,중구,Jung District,소공동
11140168,서울특별시,Seoul,중구,Jung District,소공동
11140169,서울특별시,Seoul,중구,Jung District,소공동
11140170,서울특별시,Seoul,중구,Jung District,소공동
11140112,서울특별시,Seoul,중구,Jung District,회현동
11140118,서울특별시,Seoul,중구,Jung District,회현동
11140120,서울특별시,Seoul,중구,Jung District,회현동
11140121,서울특별시,Seoul,중구,Jung District,회현동
